prompt1,prompt2,similarity
brief,detailed,0.816154794
brief,expert,0.8880703329999999
brief,noisy,0.884805726
detailed,noisy,0.8255948249999999
expert,detailed,0.837388647
expert,noisy,0.8983424449999999
original,brief,0.8991641859999999
original,detailed,0.84078608
original,expert,0.928268639
original,noisy,0.917967659
original,step_by_step,0.8370374030000001
step_by_step,brief,0.8045282220000001
step_by_step,detailed,0.8225945299999999
step_by_step,expert,0.8266870369999999
step_by_step,noisy,0.819471927
