model,temperature,qid,avg_similarity,std_similarity,min_similarity,stability_score
google/gemma-2-27b-it,0.1,Q1,0.8870895,0.061644856,0.7676803,0.82544464
google/gemma-2-27b-it,0.1,Q10,0.7167872,0.17441978,0.29015684,0.54236746
google/gemma-2-27b-it,0.1,Q11,0.6115695,0.17649731,0.23792525,0.4350722
google/gemma-2-27b-it,0.1,Q12,0.54988056,0.13246873,0.29033336,0.41741183
google/gemma-2-27b-it,0.1,Q13,0.7087046,0.14707601,0.4116093,0.5616286
google/gemma-2-27b-it,0.1,Q2,0.84828746,0.063741505,0.7273791,0.78454596
google/gemma-2-27b-it,0.1,Q3,0.9122697,0.03091049,0.86192304,0.8813592
google/gemma-2-27b-it,0.1,Q4,0.72489995,0.15839487,0.43219995,0.5665051
google/gemma-2-27b-it,0.1,Q5,0.8859893,0.066758774,0.7183008,0.81923056
google/gemma-2-27b-it,0.1,Q6,0.85434026,0.04915407,0.764742,0.8051862
google/gemma-2-27b-it,0.1,Q7,0.85997397,0.051950503,0.7712934,0.80802345
google/gemma-2-27b-it,0.1,Q8,0.8897056,0.08328117,0.7456472,0.80642444
google/gemma-2-27b-it,0.1,Q9,0.8632631,0.057564463,0.75444424,0.80569863
google/gemma-2-27b-it,0.5,Q1,0.88305706,0.053388257,0.78732944,0.8296688
google/gemma-2-27b-it,0.5,Q10,0.76202583,0.16574572,0.4336601,0.5962801
google/gemma-2-27b-it,0.5,Q11,0.4905091,0.25021088,0.16477531,0.24029821
google/gemma-2-27b-it,0.5,Q12,0.554535,0.1525804,0.2983388,0.4019546
google/gemma-2-27b-it,0.5,Q13,0.7837798,0.1417909,0.49991652,0.6419889
google/gemma-2-27b-it,0.5,Q2,0.8316308,0.07071427,0.6981397,0.76091653
google/gemma-2-27b-it,0.5,Q3,0.91759914,0.02819771,0.8858002,0.88940144
google/gemma-2-27b-it,0.5,Q4,0.7382656,0.1644194,0.3989269,0.57384616
google/gemma-2-27b-it,0.5,Q5,0.8816528,0.07152331,0.70686555,0.81012946
google/gemma-2-27b-it,0.5,Q6,0.87387913,0.057135012,0.7729304,0.81674415
google/gemma-2-27b-it,0.5,Q7,0.8248299,0.07153201,0.7554204,0.75329787
google/gemma-2-27b-it,0.5,Q8,0.8458053,0.13985845,0.6073042,0.7059468
google/gemma-2-27b-it,0.5,Q9,0.8513729,0.060698546,0.76455915,0.7906743
google/gemma-2-27b-it,1.0,Q1,0.8570766,0.04788674,0.748599,0.80918986
google/gemma-2-27b-it,1.0,Q10,0.69682986,0.18436332,0.3091965,0.51246655
google/gemma-2-27b-it,1.0,Q11,0.61063963,0.086819455,0.46053123,0.52382016
google/gemma-2-27b-it,1.0,Q12,0.50322896,0.1614574,0.24946932,0.34177154
google/gemma-2-27b-it,1.0,Q13,0.6712125,0.15175954,0.40574586,0.5194529
google/gemma-2-27b-it,1.0,Q2,0.7635876,0.08345118,0.55440617,0.68013644
google/gemma-2-27b-it,1.0,Q3,0.9142573,0.018970137,0.8868327,0.89528716
google/gemma-2-27b-it,1.0,Q4,0.76773655,0.1352352,0.5237461,0.63250136
google/gemma-2-27b-it,1.0,Q5,0.8330521,0.059649434,0.67054707,0.7734027
google/gemma-2-27b-it,1.0,Q6,0.82079154,0.109182015,0.6339167,0.71160954
google/gemma-2-27b-it,1.0,Q7,0.85010743,0.0561433,0.7915484,0.79396415
google/gemma-2-27b-it,1.0,Q8,0.89965034,0.032576483,0.8284583,0.86707383
google/gemma-2-27b-it,1.0,Q9,0.7487725,0.17970826,0.41956198,0.56906426
google/gemma-2-27b-it,1.5,Q1,0.39481926,0.15467578,0.06170767,0.24014348
google/gemma-2-27b-it,1.5,Q10,0.25592703,0.21989428,-0.0020917747,0.03603275
google/gemma-2-27b-it,1.5,Q11,0.2595926,0.17048106,0.037560713,0.08911154
google/gemma-2-27b-it,1.5,Q12,0.41236112,0.09439779,0.22017768,0.31796333
google/gemma-2-27b-it,1.5,Q13,0.28447512,0.23680618,-0.04208496,0.047668934
google/gemma-2-27b-it,1.5,Q2,0.47134823,0.20874406,0.119666934,0.26260418
google/gemma-2-27b-it,1.5,Q3,0.58232003,0.17694405,0.3199894,0.405376
google/gemma-2-27b-it,1.5,Q4,0.33649534,0.1606275,0.08977786,0.17586784
google/gemma-2-27b-it,1.5,Q5,0.5183195,0.36305046,-0.045350704,0.15526903
