temperature,prompt1,prompt2,similarity
0.1,brief,brief,0.7477563959743591
0.1,brief,detailed,0.7059540815023078
0.1,brief,expert,0.7366011935615384
0.1,brief,noisy,0.7363512804538461
0.1,brief,original,0.7369784952641025
0.1,brief,step_by_step,0.6653912673846154
0.1,detailed,brief,0.678373714025641
0.1,detailed,detailed,0.8069841088461539
0.1,detailed,expert,0.7919335556410256
0.1,detailed,noisy,0.8167962667692308
0.1,detailed,original,0.7938878171333333
0.1,detailed,step_by_step,0.7806522544871795
0.1,expert,brief,0.6783964687692308
0.1,expert,detailed,0.7874312563846154
0.1,expert,expert,0.7818572685897436
0.1,expert,noisy,0.8070340131999999
0.1,expert,original,0.776788497948718
0.1,expert,step_by_step,0.7189660379487179
0.1,noisy,brief,0.7029514040128205
0.1,noisy,detailed,0.7756133924358974
0.1,noisy,expert,0.8038496762820513
0.1,noisy,noisy,0.8043984626153846
0.1,noisy,original,0.8016865698846153
0.1,noisy,step_by_step,0.7374767657179487
0.1,original,brief,0.7171922994000001
0.1,original,detailed,0.7903802092692308
0.1,original,expert,0.8236681226153846
0.1,original,noisy,0.8405289626923076
0.1,original,original,0.8010098111538461
0.1,original,step_by_step,0.7462942515846154
0.1,step_by_step,brief,0.6536959164923076
0.1,step_by_step,detailed,0.793723830923077
0.1,step_by_step,expert,0.7600585387692308
0.1,step_by_step,noisy,0.7681991978076923
0.1,step_by_step,original,0.7541730937948719
0.1,step_by_step,step_by_step,0.7835779194871795
0.5,brief,brief,0.7054405701615385
0.5,brief,detailed,0.6820825699538461
0.5,brief,expert,0.703018990403077
0.5,brief,noisy,0.7034916328846154
0.5,brief,original,0.7061895382948717
0.5,brief,step_by_step,0.6616404416025641
0.5,detailed,brief,0.6434375656282051
0.5,detailed,detailed,0.811659823525641
0.5,detailed,expert,0.7742106660384616
0.5,detailed,noisy,0.8189142143846154
0.5,detailed,original,0.7884248771794872
0.5,detailed,step_by_step,0.7950351008974359
0.5,expert,brief,0.6382138523076923
0.5,expert,detailed,0.7768974063846155
0.5,expert,expert,0.7824779677051282
0.5,expert,noisy,0.8083478862307693
0.5,expert,original,0.7730426651666666
0.5,expert,step_by_step,0.7507166067948717
0.5,noisy,brief,0.6685200929230769
0.5,noisy,detailed,0.7729905749487179
0.5,noisy,expert,0.8009731391474358
0.5,noisy,noisy,0.8070918935897436
0.5,noisy,original,0.8119616104615385
0.5,noisy,step_by_step,0.7613026901282052
0.5,original,brief,0.6935930473153846
0.5,original,detailed,0.7839060146153847
0.5,original,expert,0.818392014676923
0.5,original,noisy,0.8334524446923077
0.5,original,original,0.8193210551794872
0.5,original,step_by_step,0.7762334346076923
0.5,step_by_step,brief,0.6318260106538461
0.5,step_by_step,detailed,0.8144958136923076
0.5,step_by_step,expert,0.772713933
0.5,step_by_step,noisy,0.7992198340769231
0.5,step_by_step,original,0.7710175612564103
